no,name,date,how_old,fuel,length,person,hp,sil,tok,method,auto_stick,dom_for,new_price,old_price
37,현대 뉴 에쿠스 VS 380 프레스티지 VVIP팩,12/09,2012.0,가솔린,3만km,,334.0,6.0,40.3,FR,,국산,10173.0,3890.0
38,르노삼성 SM7 뉴 아트 LE23,08/01,2008.0,가솔린,15만km,,170.0,6.0,23.0,FF,,국산,3100.0,840.0
39,쌍용 체어맨W V8 5000 리무진,08/06,2008.0,가솔린,11만km,,306.0,8.0,45.0,FR,,국산,10200.0,1150.0
40,현대 싼타페 더 프라임 2.0 디젤 4WD 프리미엄,17/05(18년형),2018.0,디젤,2만km,,186.0,4.0,41.0,4WD,,국산,3195.0,2250.0
41,현대 뉴 투스카니 2.0 GTS-1 기본형,07/03,2007.0,가솔린,14만km,,,,,,수동,국산,1815.0,350.0
42,기아 스포티지R 2.0 디젤 2WD 리미티드,10/09(11년형),2011.0,디젤,18만km,,184.0,,40.0,FF,,국산,,890.0
43,현대 아반떼MD M16 GDi 프리미어,10/09(11년형),2011.0,가솔린,6만km,,140.0,,17.0,FF,,국산,1810.0,750.0
44,현대 제네시스 쿠페 200 터보 P,09/04,2009.0,가솔린,7만km,,210.0,4.0,30.5,FR,,국산,2641.0,940.0
45,현대 그랜져HG 300 LPG 모던,15/05,2015.0,LPG,8만km,,235.0,,28.6,FF,,국산,,1250.0
46,기아 K7 VG350 노블레스 프리미엄,10/11(11년형),2011.0,가솔린,5만km,,290.0,6.0,34.5,FF,,국산,4135.0,1720.0
47,현대 i30 2.0 VVT 럭셔리,09/06,2009.0,가솔린,6만km,5.0,143.0,4.0,19.0,FF,수동,국산,1721.0,490.0
48,현대 그랜드스타렉스 리무진,07/08(08년형),2008.0,디젤,11만km,,175.0,,46.0,FR,,국산,,1490.0
49,현대 투스카니 2.0 GTS 고급형,02/09,2002.0,가솔린,18만km,,,,,,수동,국산,1616.0,210.0
50,현대 뉴 에쿠스 VS 380 프라임 VIP팩,10/06,2010.0,가솔린,17만km,,290.0,6.0,36.5,FR,,국산,7980.0,1990.0
51,현대 제네시스 쿠페 200 터보 P,10/04,2010.0,가솔린,8만km,,210.0,4.0,30.5,FR,,국산,2641.0,1330.0
52,GM대우 라세티 프리미어 CDX 일반형,10/06,2010.0,가솔린,20만km,,114.0,4.0,15.5,FF,,국산,1662.0,390.0
53,현대 NF쏘나타 N20 럭셔리 고급형,05/02,2005.0,가솔린,22만km,,144.0,4.0,23.0,FF,,국산,2023.0,230.0
54,현대 그랜져HG 300 LPG 이그제큐티브,11/07,2011.0,LPG,11만km,,235.0,,28.6,FF,,국산,,1899.0
55,제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,16/11(17년형),2017.0,가솔린,22km,,282.0,6.0,35.4,AWD,,국산,5510.0,5500.0
56,기아 레이 1.0 바이퓨얼 프레스티지,12/05,2012.0,가솔린/LPG겸용,13만km,,78.0,3.0,9.6,FF,,국산,1625.0,500.0
57,쌍용 코란도 스포츠 CX7 4WD 패션,14/06,2014.0,디젤,3만km,,155.0,,36.7,4WD,,국산,,1780.0
58,현대 아반떼MD M16 GDi 탑,12/10(13년형),2013.0,가솔린,6만km,,140.0,4.0,16.9,FF,,국산,1890.0,1100.0
59,기아 K5 2.0 프레스티지,10/07(11년형),2011.0,가솔린,18만km,,165.0,4.0,20.2,FF,,국산,2595.0,780.0
60,현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,14/05(15년형),2015.0,디젤,10만km,,184.0,4.0,40.0,FF,,국산,2425.0,1290.0
61,기아 K5 2세대 1.7 디젤 MX 노블레스,15/07(16년형),2016.0,디젤,12만km,,141.0,4.0,34.7,FF,,국산,2920.0,1299.0
62,현대 제네시스 쿠페 200 터보 P,09/08(10년형),2010.0,가솔린,10만km,,210.0,4.0,30.5,FR,,국산,2641.0,830.0
63,현대 투스카니 2.0 GTS 고급형,05/06,2005.0,가솔린,10만km,,143.0,4.0,19.0,FF,,국산,1930.0,200.0
64,기아 레이 1.0 가솔린 프레스티지,13/05,2013.0,가솔린,6만km,,78.0,3.0,9.6,FF,,국산,1490.0,550.0
65,현대 제네시스 쿠페 200 터보 D,09/06(10년형),2010.0,가솔린,12만km,4.0,210.0,4.0,30.5,FR,수동,국산,2320.0,580.0
66,르노삼성 트위지 인텐스,18/11(19년형),2019.0,전기,60km,,17.1,,5.8,MR,,국산,1500.0,600.0
67,현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브 스페셜,15/09(16년형),2016.0,디젤,1만km,,186.0,4.0,41.0,FF,,국산,3318.0,2790.0
68,현대 그랜져TG Q270 디럭스,06/06,2006.0,가솔린,17만km,,195.0,6.0,25.6,FF,,국산,2771.0,530.0
69,현대 제네시스 BH330 럭셔리,10/01,2010.0,가솔린,9만km,,262.0,6.0,32.1,FR,,국산,4724.0,980.0
70,현대 뉴 에쿠스 VL 500 프레스티지,14/10(15년형),2015.0,가솔린,3만km,,416.0,8.0,52.0,FR,,국산,14303.0,4850.0
71,현대 i30 1.6 VV 럭셔리,08/03,2008.0,가솔린,12만km,,121.0,4.0,15.7,FF,,국산,1425.0,465.0
72,기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,15/03,2015.0,디젤,5만km,,202.0,4.0,45.0,FF,,국산,2990.0,2599.0
73,현대 뉴 에쿠스 VL 500 프레스티지,11/05(12년형),2012.0,가솔린,7만km,,430.0,8.0,52.0,FR,,국산,14300.0,1880.0
74,현대 엑센트 1.4 VVT 위트 모던,16/03(17년형),2017.0,가솔린,3만km,,100.0,4.0,13.6,FF,,국산,1499.0,990.0
75,기아 뉴 그랜버드 캠핑카,10/06(11년형),2011.0,디젤,41만km,,,,,,수동,국산,,5500.0
76,기아 스토닉 1.6 디젤 프레스티지,17/09(18년형),2018.0,디젤,1만km,,110.0,4.0,30.6,FF,,국산,2265.0,1650.0
77,현대 뉴그랜져XG R25 고급형,02/05,2002.0,가솔린,34만km,,172.0,6.0,23.5,FF,,국산,2711.0,140.0
78,현대 쏘나타 더 브릴리언트 2.0 LPi 모던,12/07(13년형),2013.0,LPG,10만km,,157.0,,20.0,FF,,국산,,990.0
79,쉐보레 올 뉴 말리부 1.5 터보 LTZ 퍼팩트블랙,17/01,2017.0,가솔린,10km,,166.0,4.0,25.5,FF,,국산,3085.0,2950.0
80,기아 K5 2.0 터보 프레스티지,11/11(12년형),2012.0,가솔린,7만km,,271.0,4.0,37.1,FF,,국산,2815.0,1490.0
81,현대 제네시스 쿠페 380 GT R,09/04,2009.0,가솔린,12만km,,303.0,6.0,36.8,FR,,국산,3392.0,990.0
82,현대 쏘나타 하이브리드 2.0 HEV 스마트,14/06,2014.0,가솔린+전기,5만km,,191.0,4.0,27.0,FF,,국산,3038.0,1390.0
83,현대 제네시스 BH380 로얄 VIP 팩,11/11(12년형),2012.0,가솔린,19만km,,290.0,6.0,36.5,FR,,국산,6021.0,1790.0
84,GM대우 마티즈 크리에이티브 재즈 일반형,11/01,2011.0,가솔린,10만km,,70.0,4.0,9.4,FF,,국산,873.0,370.0
85,기아 뉴 페이스 카렌스 2.0 LPI GLX 최고급형,09/07,2009.0,LPG,20만km,,141.0,4.0,19.0,FF,,국산,2006.0,588.0
86,기아 더 뉴 K7 3.0 LPi 럭셔리,14/03,2014.0,LPG,11만km,,,,,,,국산,,1149.0
87,제네시스 EQ900 3.8 GDi AWD 프레스티지,16/01,2016.0,가솔린,8만km,,315.0,6.0,40.5,AWD,,국산,10500.0,4590.0
88,현대 LF쏘나타 2.0 CVVL 스마트,14/09(15년형),2015.0,가솔린,3만km,,168.0,4.0,20.5,FF,,국산,2545.0,1499.0
89,쌍용 액티언 스포츠 AX5 2WD 패션,08/09(09년형),2009.0,디젤,11만km,,145.0,,31.6,FR,,국산,2220.0,390.0
90,기아 봉고3 워크스루밴,16/04,2016.0,디젤,5만km,,126.0,,25.5,,,국산,,1580.0
91,르노삼성 SM7 VQ23 LE,05/05,2005.0,가솔린,7만km,,170.0,6.0,23.0,FF,,국산,2730.0,590.0
92,현대 엑센트 1.6 VGT 모던,14/08(15년형),2015.0,디젤,11만km,,136.0,4.0,30.6,FF,,국산,1796.0,690.0
93,현대 싼타페 2.0 골드 디젤 2WD 기본형,02/08,2002.0,디젤,17만km,,126.0,4.0,26.4,FF,,국산,2003.0,150.0
94,기아 더 뉴 K9 3.3 GDI 이그제큐티브,15/05,2015.0,가솔린,2만km,,300.0,6.0,35.5,FR,,국산,5330.0,3950.0
95,기아 포르테 1.6 CVVT SI,10/06,2010.0,가솔린,13만km,,124.0,4.0,15.9,FF,,국산,1466.0,390.0
96,벤텍 라쿤S 이동업무차,17/04,2017.0,디젤,4만km,,174.0,,41.0,,,국산,,3890.0
97,현대 뉴 제네시스 G380 파이니스트 에디션 AWD,16/10,2016.0,가솔린,2만km,,315.0,6.0,40.5,AWD,,국산,7123.0,5190.0
98,쉐보레 스파크 LPGi LT,13/03,2013.0,LPG,8만km,,65.0,4.0,9.3,FF,,국산,1256.0,430.0
99,기아 스포티지R 2.0 디젤 2WD TLX 고급형,12/05,2012.0,디젤,17만km,5.0,184.0,4.0,40.0,FF,수동,국산,2187.0,949.0
100,쌍용 슈퍼렉스턴 노블레스 AWD,11/09,2011.0,디젤,17만km,,186.0,6.0,41.0,4WD,,국산,4014.0,650.0
101,기아 쏘렌토 2.5 TLX 4WD 최고급형,02/05,2002.0,디젤,17만km,,145.0,4.0,33.0,AWD,,국산,2490.0,400.0
102,쌍용 액티언 스포츠 AX7 4WD 패션,08/08(09년형),2009.0,디젤,18만km,,145.0,,31.6,FR,,국산,2390.0,690.0
103,르노삼성 SM6 1.6 TCe RE,16/04,2016.0,가솔린,3만km,,190.0,4.0,26.5,FF,,국산,3250.0,1310.0
104,르노삼성 뉴SM5 플래티넘 LPLi 택시/렌터카 고급형,13/08,2013.0,LPG,18만km,,,,,,,국산,,569.0
105,현대 제네시스 쿠페 200 터보 P,10/04,2010.0,가솔린,13만km,,210.0,4.0,30.5,FR,,국산,2641.0,500.0
106,현대 제네시스 쿠페 380 GT R,10/03,2010.0,가솔린,6만km,,303.0,6.0,36.8,FR,,국산,3392.0,1270.0
107,현대 뉴 에쿠스 VL 500 프레스티지,15/03,2015.0,가솔린,18만km,,416.0,8.0,52.0,FR,,국산,14303.0,2990.0
108,기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,14/01,2014.0,가솔린,7만km,,201.0,4.0,25.5,FF,,국산,3141.0,1730.0
109,현대 엑센트 1.6 VGT 모던,15/05(16년형),2016.0,디젤,16만km,,136.0,4.0,30.6,FF,,국산,1796.0,520.0
110,현대 싼타페DM 2.0 VGT 2WD 익스클루시브,14/01,2014.0,디젤,7만km,,184.0,4.0,41.0,FF,,국산,3198.0,1590.0
111,쉐보레 스파크 밴,12/09,2012.0,가솔린,11만km,,70.0,,9.4,FF,,국산,,268.0
112,르노삼성 SM7 VQ35 RE 블랙,07/02,2007.0,가솔린,16만km,,217.0,6.0,31.9,FF,,국산,3755.0,250.0
113,르노삼성 QM3 RE,15/09,2015.0,디젤,13만km,,90.0,4.0,22.4,FF,,국산,2495.0,790.0
114,기아 올 뉴 카니발 하이리무진 2.2 디젤 9인승 프레스티지,15/05(16년형),2016.0,디젤,2만km,,202.0,4.0,45.0,FF,,국산,4985.0,4390.0
115,기아 그랜드카니발 R GX 그랜드팩,10/12(11년형),2011.0,디젤,16만km,,197.0,,44.5,FF,,국산,2336.0,1250.0
116,현대 더 럭셔리 그랜져 Q270 럭셔리,10/05,2010.0,가솔린,20만km,,195.0,6.0,25.5,FF,,국산,3182.0,1190.0
117,현대 아반떼MD M16 GDi 프리미엄,12/08(13년형),2013.0,가솔린,15만km,,140.0,4.0,16.9,FF,,국산,1955.0,866.0
118,타이어프로 이동업무차,17/09(18년형),2018.0,디젤,9천km,,133.0,,,FR,,국산,,3600.0
119,기아 올 뉴 모닝 1.0 가솔린 럭셔리,13/02,2013.0,가솔린,5만km,,82.0,3.0,9.6,FF,,국산,1176.0,590.0
120,GM대우 레스타 장축 디럭스,13/07,2013.0,디젤,7만km,,,,,,수동,국산,,2599.0
121,현대 갤로퍼 롱바디 터보 엑시드 6인승,93/04,1993.0,디젤,15만km,,,4.0,,4WD,,국산,1579.0,1080.0
122,현대 아반떼HD 1.6 VVT X16 프리미어,07/09,2007.0,가솔린,6만km,,121.0,4.0,15.6,FF,,국산,1520.0,450.0
123,현대 제네시스 쿠페 200 터보 D,10/05,2010.0,가솔린,10만km,,210.0,4.0,30.5,FR,,국산,2320.0,1050.0
124,르노삼성 SM3 네오 SE,15/03,2015.0,가솔린,4만km,,117.0,4.0,16.1,FF,,국산,1710.0,552.0
125,현대 카운티 15인승 캠핑카,00/01,2000.0,디젤,9만km,,,,,,수동,국산,,3650.0
126,쉐보레 말리부 2.0 LTZ 디럭스팩,12/07,2012.0,가솔린,3만km,,141.0,6.0,18.8,FF,,국산,2963.0,1040.0
127,현대 그랜져HG 220 디젤 프리미엄,15/02,2015.0,디젤,37만km,,202.0,4.0,45.0,FF,,국산,3389.0,899.0
128,현대 뉴 제네시스 G330 모던 AWD,15/01,2015.0,가솔린,4만km,,282.0,6.0,35.4,AWD,,국산,4807.0,3650.0
129,쌍용 뉴체어맨 CM500S 마제스티,06/03,2006.0,가솔린,19만km,,197.0,6.0,27.6,FR,,국산,4664.0,195.0
130,현대 벨로스터 익스트림 터보,12/07(13년형),2013.0,가솔린,9만km,,204.0,4.0,26.9,FF,,국산,2195.0,1030.0
131,르노삼성 SM6 2.0 LPe LE,16/11,2016.0,LPG,5만km,,140.0,,19.7,FF,,국산,,1490.0
132,기아 K5 2.0 디럭스,11/01,2011.0,가솔린,14만km,,165.0,4.0,20.2,FF,,국산,2365.0,890.0
133,기아 K3 1.6 GDI 디럭스,15/07,2015.0,가솔린,8만km,,,4.0,,FF,,국산,1403.0,698.0
134,제네시스 G80 3.3 GDi 프리미엄 럭셔리,16/10(17년형),2017.0,가솔린,7만km,,282.0,6.0,35.4,FR,,국산,5510.0,3580.0
135,현대 베라크루즈 2WD 300X 디럭스,08/05,2008.0,디젤,35만km,,240.0,6.0,46.0,FF,,국산,3549.0,650.0
136,현대 뉴아반떼XD 1.5 VVT 골드 최고급형,04/07,2004.0,가솔린,9만km,,107.0,4.0,13.6,FF,,국산,1234.0,330.0
137,현대 싼타페DM 2.0 VGT 2WD 익스클루시브,14/09(15년형),2015.0,디젤,8만km,,184.0,4.0,41.0,FF,,국산,3198.0,1990.0
138,기아 K5 하이브리드 500H 프레스티지,14/10(15년형),2015.0,가솔린+전기,2만km,,191.0,4.0,27.0,FF,,국산,3178.0,2090.0
139,기아 뉴 오피러스 GH270 LPI 고급형,08/07(09년형),2009.0,LPG,21만km,,165.0,,25.0,FF,,국산,3110.0,390.0
140,기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,16/08(17년형),2017.0,디젤,5만km,,202.0,4.0,45.0,FF,,국산,3340.0,2590.0
141,현대 제네시스 쿠페 200 터보 R,08/10(09년형),2009.0,가솔린,14만km,4.0,210.0,4.0,30.5,FR,수동,국산,2942.0,1250.0
142,르노삼성 SM5 뉴 임프레션 LPLi 장애우용 LE,09/03,2009.0,LPG,23만km,,139.0,,19.4,FF,,국산,,380.0
143,두성 스포츠 400LK 캠핑 카라반,09/10,2009.0,기타,등록,,,,,,,국산,,1700.0
144,기아 K3 1.6 GDI 프레스티지,13/11(14년형),2014.0,가솔린,10만km,,140.0,4.0,16.9,FF,,국산,1923.0,450.0
145,현대 포터2 다용도탑차,08/07,2008.0,디젤,5만km,,,,,,수동,국산,,700.0
146,기아 스포티지R 2.0 디젤 2WD TLX 최고급형,12/08(13년형),2013.0,디젤,12만km,,184.0,4.0,40.0,FF,,국산,2499.0,890.0
147,기아 더 뉴 모닝 밴 고급형,15/03(16년형),2016.0,가솔린,7만km,,78.0,,9.6,FF,,국산,1075.0,438.0
148,현대 그랜져TG Q270 럭셔리,05/10(06년형),2006.0,가솔린,12만km,,195.0,6.0,25.6,FF,,국산,2971.0,499.0
149,기아 더 뉴 K7 3.0 LPi 프레스티지,13/02,2013.0,LPG,7만km,,,,,,,국산,,1880.0
150,현대 싼타페CM 2.2 VGT SLX 2WD 고급형,06/09(07년형),2007.0,디젤,21만km,,172.0,,37.0,FF,,국산,3083.0,499.0
151,현대 싼타페DM 2.0 VGT 4WD 프리미엄,12/08(13년형),2013.0,디젤,6만km,,184.0,4.0,41.0,4WD,,국산,3218.0,1699.0
152,현대 더 뉴 제네시스 쿠페 200 터보 S,12/02,2012.0,가솔린,5만km,,,,,,수동,국산,2965.0,1890.0
153,현대 뉴 에쿠스 VS 380 익스클루시브,15/05,2015.0,가솔린,8만km,,334.0,6.0,40.3,FR,,국산,8747.0,3950.0
154,기아 스토닉 1.4 가솔린 프레스티지,18/03,2018.0,가솔린,1만km,,100.0,4.0,13.6,FF,,국산,2025.0,1600.0
155,제일모빌 에드윈 LR 캠핑카,09/07,2009.0,디젤,7만km,,174.0,,41.0,,,국산,,4550.0
156,기아 봉고3 플러스 내장 탑차,11/03,2011.0,디젤,21만km,,,,,,수동,국산,,469.0
157,르노삼성 SM7 뉴 아트 RE23,11/06,2011.0,가솔린,15만km,,170.0,6.0,23.0,FF,,국산,3270.0,650.0
158,현대 벨로스터 DCT 팩,11/11(12년형),2012.0,가솔린,11만km,,140.0,4.0,17.0,FF,,국산,2200.0,650.0
159,현대 더 뉴 아반떼 1.6 LPi 스마트,13/09(14년형),2014.0,LPG,10만km,,120.0,,15.5,FF,,국산,,690.0
160,현대 뉴 에쿠스 VS 380 프라임 VIP팩,09/04(10년형),2010.0,가솔린,22만km,,290.0,6.0,36.5,FR,,국산,7980.0,1950.0
161,두성 이동업무차,12/02,2012.0,디젤,1만km,,174.0,,41.0,,,국산,,3100.0
162,기아 그랜드카니발 R GLX 프리미엄,14/02,2014.0,디젤,3만km,,197.0,,44.5,FF,,국산,,1950.0
163,GM대우 토스카 L6 2.0 LPG 디럭스,07/12,2007.0,LPG,19만km,,144.0,,19.2,FF,,국산,,199.0
164,현대 그랜져IG 2.4 GDI 프리미엄 스페셜,18/08(19년형),2019.0,가솔린,3만km,,190.0,4.0,24.6,FF,,국산,3400.0,2850.0
165,쉐보레 말리부 2.0 LTZ 디럭스팩,13/04,2013.0,가솔린,14만km,,141.0,6.0,18.8,FF,,국산,3015.0,690.0
166,현대 투싼ix 디젤 LX20 2WD 럭셔리,10/03,2010.0,디젤,10만km,,184.0,4.0,40.0,FF,,국산,2390.0,999.0
167,현대 싼타페CM 2.2 VGT CLX 2WD 고급형,06/09(07년형),2007.0,디젤,15만km,,172.0,,34.0,FF,,국산,,450.0
168,현대 올 뉴 투싼 2.0 E-VGT 2WD 모던,15/04(16년형),2016.0,디젤,9만km,,186.0,4.0,41.0,FF,,국산,2655.0,1550.0
169,현대 투스카니 2.0 GL 고급형,05/08(06년형),2006.0,가솔린,16만km,4.0,143.0,4.0,19.0,FF,수동,국산,1282.0,290.0
170,GM대우 G2X 2.0 터보,08/06,2008.0,가솔린,5만km,,264.0,,36.0,FR,,국산,4380.0,2000.0
171,기아 K5 2.4 GDI 프레스티지,11/08,2011.0,가솔린,9만km,,201.0,4.0,25.5,FF,,국산,2825.0,1380.0
172,현대 그랜져HG 240 모던,16/01,2016.0,가솔린,4천km,,190.0,4.0,25.5,FF,,국산,2988.0,2350.0
173,현대 아반떼HD 1.6 VVT S16 럭셔리,09/05,2009.0,가솔린,11만km,,,4.0,,FF,,국산,1421.0,390.0
174,현대 그랜져TG L330 탑,06/04,2006.0,가솔린,18만km,,233.0,6.0,31.0,FF,,국산,3577.0,300.0
175,현대 갤로퍼2 7인승 롱바디 인터쿨러 슈퍼 고급형,97/11,1997.0,디젤,13만km,7.0,,,,4WD,수동,국산,,220.0
176,쉐보레 올 뉴 말리부 1.5 터보 LT 디럭스,16/09(17년형),2017.0,가솔린,3만km,,166.0,4.0,25.5,FF,,국산,2863.0,1100.0
177,기아 모하비 KV300 4WD 최고급형,11/01,2011.0,디젤,15만km,,250.0,6.0,55.1,4WD,,국산,4605.0,2150.0
178,기아 포르테 1.6 CVVT SI,09/10(10년형),2010.0,가솔린,11만km,,124.0,4.0,15.9,FF,,국산,1466.0,570.0
179,기아 K5 2.0 LPi 프레스티지,12/04(13년형),2013.0,LPG,9만km,,144.0,,19.3,FF,,국산,,1250.0
180,현대 LF쏘나타 2.0 LPi 스마트,15/06,2015.0,LPG,9만km,,151.0,,19.8,FF,,국산,,790.0
181,기아 더 K9 3.3 T-GDI AWD 마스터즈Ⅲ,19/06(20년형),2020.0,가솔린,2만km,,370.0,6.0,52.0,AWD,,국산,7289.0,5440.0
182,기아 레이 1.0 밴 고급형,14/02,2014.0,가솔린,6만km,,78.0,3.0,9.6,FF,,국산,,498.0
183,현대 NF쏘나타 N20 VGT 럭셔리 기본형,07/06,2007.0,디젤,14만km,,146.0,4.0,32.0,FF,,국산,2366.0,650.0
184,현대 베라크루즈 4WD 300VXL 프리미엄,11/11(12년형),2012.0,디젤,11만km,,245.0,6.0,46.0,4WD,,국산,4564.0,2330.0
185,현대 제네시스 BH330 프리미엄 다이내믹 에디션,13/04,2013.0,가솔린,13만km,,300.0,6.0,35.5,FR,,국산,5126.0,2090.0
186,현대 더 뉴 제네시스 쿠페 380 GT R,13/04(14년형),2014.0,가솔린,12만km,,350.0,6.0,40.8,FR,,국산,3583.0,1620.0
187,제일모빌 에드윈 G 캠핑카,08/05,2008.0,디젤,7만km,,,,,,,국산,,3450.0
188,쌍용 로디우스 유로 RD500 4WD,13/01,2013.0,디젤,10만km,,155.0,,36.7,4WD,,국산,,1400.0
189,쉐보레 크루즈 1.4 터보 LTZ 플러스,13/11(14년형),2014.0,가솔린,6만km,,130.0,4.0,20.4,FF,,국산,2114.0,1390.0
190,쉐보레 스파크 밴,14/00,2014.0,가솔린,2만km,,70.0,,9.4,FF,,국산,,368.0
191,기아 레이 1.0 가솔린 디럭스 스페셜,14/08(15년형),2015.0,가솔린,7만km,,78.0,3.0,9.6,FF,,국산,1310.0,658.0
192,현대 뉴 투스카니 2.0 GTS 고급형,08/04(09년형),2009.0,가솔린,10만km,,143.0,,19.0,FF,,국산,,370.0
